feedbacks,topics
Keyboard is great but primary and secondary control buttons could be more durable .,"Keyboard, control buttons"
I bought this laptop about a month ago to replace my compaq laptop .,
I am however pleased that it is still hanging in there .,
I went to my local Best Buy looking for a new laptop since mine broke .,
The Apple MC371LL/ A 2.4Ghz 15.4- inch MacBook Pro Notebook is a horrible waste of money .,
Did n't expect to repair it at once !,
I was tired of going without my laptop every few weeks .,
i cant believe HP put this out .,
"- Stay away from Apple , or hope you laptop does not break down .",
"The computer is so slow , even after paying staples the extra money to speed it up .",
"I believe I purchased this in Dec 09 for my primary work laptop which is used 5- 10 hours a day , 4- 6 days a week .",
Toshiba is aware of the issue but unless the extended warrenty is bought Toshiba will do nothing about it .,extended warrenty
So what am I supposed to do ? The LG service center can not provide me the `` service `` when it is called the `` service center `` .,"LG service center, service, service center"
Summary : They played games with me for the warranty period .,warranty period
I purchased this laptop while on a business trip to keep up with my email .,
i try to use it today and I ca n't logon .,
"I do n't have that additional money right now , and therefore would n't have purchased it at this time .",
The book is useless .,
The best thing about this laptop is the price along with some of the newer features .,"price, features"
"I have a lapdesk which I can use , but I can still feel the heat through the foam and plastic .",
This is my first LG product .,
Purchased as a gift for a friend .,
Battery is not upgradable to a longer life battery .,"Battery, battery"
"Well , I have to say since I bought my Mac , I wo n't ever go back to any Windows .",Windows
"HAVING HAD EXPERIENCE WITH A TOSHIBA LAPTOP , I WAS DISAPPOINTED TO FIND THAT THE TOSHIBA NB305 LAPTOP HAS MAJOR PROBLEMS .",
"So , if you 're thinking of a laptop , I would heartily recommend theApple 13.3 MacBook Pro Notebook Computer ( Z0J80001 ) Notebook for all your needs !",
Avoid this model .,
"Do yourself a favor , this is not a fake story trying to hurt alienware ...",
After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard .,"motherboard, motherboard"
"Not to mention , the battery life is absolutely amazing .",battery life
Toshiba does not send any one out unless you have paid extra to have the on site repair done .,
"Then to make matters worst , there is noone that they can transfer you to .",
"I do find that my MacBook has a lot more bells and whistles than a normal PC especially if you enjoy technology , downloading pictures and graphic design .",
It was a bad experience but i played down its importance .,
I love to write and play with graphics and html programming and my new Toshiba works great on both !,works
That 's a huge difference .,
What I 'd like is for the laptop to run well without having to purchase additional memory .,"run, memory"
Overall I am very satisfied with the purchase .,
"I dislike the weight and size , cubersome .","weight, size"
Once again apple stands alone at the top of the charts .,
The internet capabilities are also very strong and picks up signals very easily .,internet capabilities
"I did think it had a camera because that was one of my requirements , but forgot to check in the specifications on this one before I purchased .","camera, specifications"
I was so excited when my dad said i could get a new laptop for my birthday .,
I 've been having endless problems since I bought the computer - only 1 month ago,
"Although I was promised about 10 hours , I found myself to a limited 7 hours ( which is still amazing ) .",
"Next , most Acer laptop fans are on the bottom which is right on your laptop .",fans
"The battery never held a charge longer than one hour and within two months , stopped holding a charge for more than ten minutes .","battery, charge, charge"
I love it - never had a computer I was so impressed with - and I 've had a lot of laptops and desktops - this one is FAR AND ABOVE THE BEST ONE I EVER HAD BEFORE .,
"Never had a single problem , and do n't have to worry about viruses .",
"This was around three years , maybe four years ago .",
"But , at the same time they ( the company ) would not and could not do anything about my problem .",
OS X is solid with lots of innovations such as quicklook which save heaps of time .,"OS X, quicklook"
and it comes with the new OSX that comes with new features that makes the use more easy .,"OSX, features, use"
I still see the benefits of a PC when I do not know how to do something on my mac .,
But in fact it is totally the opposite .,
The wheel that turns the volume up and down does n't work in real time .,wheel
"So , after Apple replaced the hard drive I enjoyed another 4 months of my new computer , until it froze this morning - - completely .",hard drive
I have never had an experience like this .,
Macs are designed for the `` frontal lobe challenged '' people out there .,
"I 'm honestly afraid that it will burn me , it 's that hot !",
"It crashes , and when it goes flat , it just DIES ( like a PC , maybe worse ) and I loose all my open documents !",
From the moment I opened the box to the present it has been a great joy .,
Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures .,"Temperatures, Core Processing Unit temperatures"
"Ok , this is probably the best laptop series ever devised by Apple .",
A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE .,"BATTERY, STORAGE LIFE, SERVICE"
NO good .,
ca n't reinstall with standard os cd because of proprietary hardware drivers .,"standard os cd, proprietary hardware drivers"
"I did have to replace the battery once , but that was only a couple months ago and it 's been working perfect ever since .",battery
THis computer may be small but it is one heck of a power horse .,
"Setting would change for some reason , the screen size would change on it 's own , like the pixel sizes and whatnot .","Setting, screen size, pixel sizes"
"It was not clear that the Microsoft Student Edition that was loaded on the computer , was a six month trial .",Microsoft Student Edition
"The repairs were made quickly though I must say , however the second time they shipped it to the incorrect address and it took nearly a week for them to get it to me .",shipped
EVENTUALLY we pushed hard enough to convince them that this was the MACHINE that was causing the problems .,
First the screen goes completely out .,screen
The store honored their warrenty and made the comment that they do n't even recommend the HP brand because of the problems with their warrentys .,"warrenty, warrentys"
The screen resolution was exactly what I was looking for .,screen resolution
"Now , as easy as it is to use , and I do think it is a great STARTER laptop .",use
I previously purchased a 13 '' macbook ( had pro specs and was aluminum style ) which had a nvidia 9800 ( If I am not mistaken ) and it had major heating issues .,"specs, aluminum style, nvidia 9800"
"After doing extensive research , macconnection had the lowest price on the 15 '' MBP i5 .",price
Would do business again .,
I had to pay for the shipping !,shipping
I had 3 months when the ports started going out .,ports
"All apple associates are always wiling to help you out with anything , no matter when you purchased the computer and how many years passed .",apple associates
"In my house , HP is a nasty word .",
I love this little one .,
It seems to have some opions that are intalled but do not work like I thought they would .,
"I run Dreamweaver , Final Cut Pro 7 , Photoshop , Safari , Firefox , MSN Messenger and a few other applications constantly at the same time .","Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger, applications"
However I dealt with this problem for over a year and it was more of a hastle then I have EVER had with anything .,
The letter A stopped working after the first week .,letter A
"also you may need to charge it once a day , if for medium use every thing fast and easy with mac the size and look is the most feature that attracted me to it .","charge, size, look, feature"
"All in all , I 'm incredibly dissatisfied with this laptop , and with HP as a whole .",
You ca n't even get a satellite card which is why I bought to begin with .,satellite card
"In all honesty , if someone is looking for a quality laptop and willing to pay a little more money for a normal sized laptop than a cheaper and less impressive laptop , then do not buy this computer .",sized
I 've had hp desktop for over 4 yrs now and not one days goes by that i do n't regret buying it .,
then on top of it all their cusromer service center is in the middle east .,cusromer service center
Now for the hardware problems .,hardware
in 5 months the connect quality got worse and worse .,connect quality
I should have sent it back to them then .,
I was informed that I need to call some 0900 number first .,
My only other complaint is that it gets really hot .,
The DVD burner broke after burning 3 DVD 'd during that time !,DVD burner
So far it has been five months since the last problem was fixed and I am PRAYING it has finally stopped .,
It has a .1 ghz faster processor and a stock 500gb hard drive .,"processor, 500gb hard drive"
This is a great laptop and I would recommend it to anyone .,
"Who knows what will happen later on when they dismantle the whole damn thing ? So , I said I wanted a new set .",
PLEASE MAKE THESE !,
This machine delivers .,
I believe that the quality of a mac is worth the price .,"quality, price"
Speakers does n't sound that great .,Speakers
Ease of use is just one of the benefits I love about my Mac .,use
"The only drawback for me is how dirty the screen gets , and rather quickly too .",screen
"Instead of taking another chance on Toshiba , I went with an Asus G73JH- x3 .",
I should have been more observant .,
"They 're easy , fun , powerful and will last a long time .",
"I wanted to purchase the extended warranty and they refused , because they knew it was trouble .",extended warranty
Bought for my daughter to take for starting college this fall - she has been on it non- stop ever since `` learning how to use it '' .,
I was taught to use Photoshop and was amazed .,Photoshop
"I'ts nice to have the higher - end laptops , but this fits my budget and the features I need .","budget, features"
she ca n't tell the difference between it and her regular desktop system .,
That 's how frustrating it was .,
"The battery life was supposed to be 6 hours , but even if I ran off the battery with the high effeciency setting the battery would only last me on average about 2.5 to 3 hours .","battery life, battery, battery"
Currently if I use the laptop I ca n't sit it on my lap because it will burn my legs .,
It is SO much fun to play with .,
I ca n't say enough good for it !,
I am just ONE of the million customers .,
"It is made better , thicker , and all out tough !",
They really do have the worlds very worst repair service .,repair service
There is no need to open a program first and the cliick open or import .,program
Sure hope Best Buy will replace it asap .,
To be honest i think it was faulty equipment or something but idk .,equipment
Hieroglyphics are quite common .,
"My friend reports the notebook is astonishing in performance , picture quality , and ease of use .","performance, picture quality, use"
My real problem with it ? The statement of 7 hour battery life is not just mere exaggeration - - it 's a lie .,battery life
ASUS said my net- book was working properly .,
I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program .,"Windows 7, VMWare program"
"Overall though , for the money spent it 's a great deal .",
both upgrades were quickly accomplished after purchasing the necessary Product Key .,
One of the primary reasons why I purchased an IPad was to store photographs so that I could show to my customers .,
"First , it does not have a push button to open the lid .","push button, lid"
the apple pro notebook will not let you down .,
So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it ...,
It was always getting froze up .,
If you find yourself in the market for a new laptop ( and have the money ) do n't exclude looking at the MBPs .,
The shop will definitely push the problem to the service center .,service center
the programs are esay to use and are quick to process this computer works like a charm .,"programs, use"
"There are several programs for school or office use ( Pages , Numbers , Keynote , etc . ) , music ( Garageband ) , photo management ( Photo Booth , iPhoto ) , video - editing or movie - making ( iMovie ) , etc .","programs, school or office use, Pages, Numbers, Keynote, music, Garageband, photo management, Photo Booth, iPhoto, video - editing, movie - making, iMovie"
for 2 months .,
When I called Sony the Customer Service was Great .,Customer Service
"Thank God for `` ctrl Z '' Bottom line , I 've been using laptops since the mid 90s and probably the majority of brands out there .",
"Also the speakers are not very loud , But it is a netbook .",speakers
"They said that my computer was covered on an extended warranty , and that products with extended warranties are taken care of through third parties and not Sony itself anymore .","extended warranty, extended warranties"
the internet can be an scary place its up to you on what you do with it .,
I find myself using the 10 - key more than I thought I would .,10 - key
"The one down side to it is that when I play a certin game on here , it tends to freeze up sometimes , but thats the only bad thing about this computer .",
The machine is slow to boot up and occasionally crashes completely .,boot up
System is loosing about 20 % of performance because of that .,"System, performance"
It 's A MAC ! !,
